Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
11/23/14,OKC,W 91-86,38,5,15,2,6,3,4,6,6,0,1,0,1,15,REGULAR SEASON STATS,W,91,86
11/25/14,MIA,W 114-97,37,12,19,8,11,8,9,6,7,1,3,2,2,40,REGULAR SEASON STATS,W,114,97
11/26/14,ORL,W 111-96,24,9,13,6,8,4,5,5,8,0,0,1,1,28,REGULAR SEASON STATS,W,111,96
11/28/14,CHA,W 106-101,32,9,20,1,10,7,7,4,6,2,1,4,4,26,REGULAR SEASON STATS,W,106,101
11/30/14,DET,W 104-93,28,5,9,1,3,5,6,3,10,0,1,2,1,16,REGULAR SEASON STATS,W,104,93
12/2/14,ORL,W 98-97,36,8,17,3,9,3,3,4,5,0,0,2,4,22,REGULAR SEASON STATS,W,98,97
12/4/14,NO,W 112-85,31,8,17,3,6,0,0,3,11,1,4,0,2,19,REGULAR SEASON STATS,W,112,85
12/6/14,CHI,W 112-102,36,5,14,1,5,8,9,6,7,0,1,2,3,19,REGULAR SEASON STATS,W,112,102
12/8/14,MIN,W 102-86,31,10,20,1,7,0,0,4,7,1,3,3,3,21,REGULAR SEASON STATS,W,102,86
12/10/14,HOU,W 105-93,37,8,15,3,5,1,1,7,7,0,0,3,4,20,REGULAR SEASON STATS,W,105,93
12/13/14,DAL,W 105-98,37,9,22,3,11,8,9,3,8,0,2,1,1,29,REGULAR SEASON STATS,W,105,98
12/14/14,NO,W 128-122,40,11,21,6,10,6,6,7,7,0,1,1,6,34,REGULAR SEASON STATS,W,128,122
12/16/14,MEM,L 98-105,39,9,25,1,10,0,0,7,6,0,4,2,3,19,REGULAR SEASON STATS,L,98,105
12/18/14,OKC,W 114-109,42,14,24,5,12,1,1,7,9,1,4,0,4,34,REGULAR SEASON STATS,W,114,109
12/22/14,SAC,W 128-108,26,5,12,1,5,1,1,2,11,0,3,1,1,12,REGULAR SEASON STATS,W,128,108
12/23/14,LAL,L 105-115,30,10,14,2,5,0,0,2,6,0,3,0,7,22,REGULAR SEASON STATS,L,105,115
12/25/14,LAC,L 86-100,36,5,12,1,5,3,4,9,7,0,2,3,5,14,REGULAR SEASON STATS,L,86,100
12/27/14,MIN,W 110-97,31,9,18,4,9,3,4,3,6,0,3,3,3,25,REGULAR SEASON STATS,W,110,97
12/30/14,PHI,W 126-86,27,4,7,3,6,2,2,3,9,0,3,3,3,13,REGULAR SEASON STATS,W,126,86
1/2/15,TOR,W 126-105,34,10,18,5,11,7,7,5,12,0,1,3,0,32,REGULAR SEASON STATS,W,126,105
1/5/15,OKC,W 117-91,31,7,14,1,4,4,4,9,6,0,4,2,2,19,REGULAR SEASON STATS,W,117,91
1/7/15,IND,W 117-102,35,8,17,4,8,1,1,3,15,0,4,5,5,21,REGULAR SEASON STATS,W,117,102
1/9/15,CLE,W 112-94,35,8,15,3,8,4,4,1,10,0,2,1,1,23,REGULAR SEASON STATS,W,112,94
1/13/15,UTAH,W 116-105,29,10,16,4,9,3,3,2,11,0,0,2,2,27,REGULAR SEASON STATS,W,116,105
1/14/15,MIA,W 104-89,32,11,19,7,10,3,5,5,3,0,2,1,3,32,REGULAR SEASON STATS,W,104,89
1/16/15,OKC,L 115-127,31,6,13,2,6,5,5,3,6,0,2,2,6,19,REGULAR SEASON STATS,L,115,127
1/17/15,HOU,W 131-106,33,9,18,2,8,7,8,7,11,1,3,0,2,27,REGULAR SEASON STATS,W,131,106
1/19/15,DEN,W 122-79,25,7,13,2,5,4,4,1,8,2,1,2,1,20,REGULAR SEASON STATS,W,122,79
1/21/15,HOU,W 126-113,34,7,12,3,5,5,6,3,10,0,1,3,6,22,REGULAR SEASON STATS,W,126,113
1/23/15,SAC,W 126-101,29,3,11,2,7,2,2,4,11,0,2,0,6,10,REGULAR SEASON STATS,W,126,101
1/25/15,BOS,W 114-111,33,6,16,1,5,9,9,4,11,0,2,1,3,22,REGULAR SEASON STATS,W,114,111
1/27/15,CHI,L 111-113,43,9,23,2,9,1,1,4,9,0,3,3,3,21,REGULAR SEASON STATS,L,111,113
1/30/15,UTAH,L 100-110,34,10,22,5,11,7,9,7,6,0,3,1,2,32,REGULAR SEASON STATS,L,100,110
1/31/15,PHX,W 106-87,37,9,23,4,9,3,3,4,7,1,2,2,1,25,REGULAR SEASON STATS,W,106,87
2/3/15,SAC,W 121-96,29,6,15,2,6,9,10,5,9,0,3,2,2,23,REGULAR SEASON STATS,W,121,96
2/4/15,DAL,W 128-114,37,16,26,10,16,9,11,4,4,0,1,3,3,51,REGULAR SEASON STATS,W,128,114
2/6/15,ATL,L 116-124,36,8,19,4,9,6,7,2,9,2,2,3,1,26,REGULAR SEASON STATS,L,116,124
2/7/15,NY,W 106-92,31,8,18,5,9,1,3,6,0,0,2,0,3,22,REGULAR SEASON STATS,W,106,92
2/9/15,PHI,W 89-84,32,7,20,3,12,3,4,5,6,0,3,2,1,20,REGULAR SEASON STATS,W,89,84
2/11/15,MIN,W 94-91,36,9,23,2,10,5,5,5,8,0,3,1,3,25,REGULAR SEASON STATS,W,94,91
2/15/15,EAST,W 163-158,27,6,16,3,10,0,0,9,5,0,1,1,5,15,REGULAR SEASON STATS,W,163,158
2/20/15,SA,W 110-99,32,8,17,4,8,5,5,4,11,0,4,2,2,25,REGULAR SEASON STATS,W,110,99
2/22/15,IND,L 98-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,98,104
2/24/15,WSH,W 114-107,34,11,18,5,9,5,5,0,8,0,2,1,0,32,REGULAR SEASON STATS,W,114,107
2/26/15,CLE,L 99-110,34,5,17,3,9,5,5,3,6,0,1,3,4,18,REGULAR SEASON STATS,L,99,110
2/27/15,TOR,W 113-89,25,8,13,3,4,3,3,6,5,0,2,0,2,22,REGULAR SEASON STATS,W,113,89
3/1/15,BOS,W 106-101,38,14,22,5,8,4,4,4,5,0,1,1,5,37,REGULAR SEASON STATS,W,106,101
3/2/15,BKN,L 108-110,29,8,16,6,12,4,4,2,7,0,1,4,4,26,REGULAR SEASON STATS,L,108,110
3/4/15,MIL,W 102-93,37,6,16,6,13,1,2,1,11,2,2,3,5,19,REGULAR SEASON STATS,W,102,93
3/6/15,DAL,W 104-89,31,6,11,5,8,5,6,2,7,1,2,2,3,22,REGULAR SEASON STATS,W,104,89
3/8/15,LAC,W 106-98,32,3,9,2,2,4,4,1,4,0,3,1,4,12,REGULAR SEASON STATS,W,106,98
3/9/15,PHX,W 98-80,36,14,24,7,13,1,2,6,5,0,4,3,4,36,REGULAR SEASON STATS,W,98,80
3/11/15,DET,W 105-98,34,4,15,1,7,0,0,5,11,0,1,1,3,9,REGULAR SEASON STATS,W,105,98
3/13/15,DEN,L 103-114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,103,114
3/14/15,NY,W 125-94,27,8,15,6,10,3,3,3,11,0,3,2,1,25,REGULAR SEASON STATS,W,125,94
3/16/15,LAL,W 108-105,33,5,14,2,6,7,7,4,9,0,3,2,6,19,REGULAR SEASON STATS,W,108,105
3/18/15,ATL,W 114-95,30,4,11,2,6,6,6,4,12,0,0,1,4,16,REGULAR SEASON STATS,W,114,95
3/20/15,NO,W 112-96,27,4,17,2,10,6,6,2,11,0,0,0,3,16,REGULAR SEASON STATS,W,112,96
3/21/15,UTAH,W 106-91,32,8,18,3,6,5,5,3,3,0,3,0,0,24,REGULAR SEASON STATS,W,106,91
3/23/15,WSH,W 107-76,28,8,14,5,8,3,3,5,6,0,2,1,2,24,REGULAR SEASON STATS,W,107,76
3/24/15,POR,W 122-108,35,13,22,5,9,2,2,2,10,0,1,2,2,33,REGULAR SEASON STATS,W,122,108
3/27/15,MEM,W 107-84,34,12,22,8,12,6,6,3,10,1,3,3,4,38,REGULAR SEASON STATS,W,107,84
3/28/15,MIL,W 108-95,30,8,13,6,9,3,3,4,6,0,1,4,6,25,REGULAR SEASON STATS,W,108,95
3/31/15,LAC,W 110-106,36,8,15,4,6,7,7,1,4,0,1,3,3,27,REGULAR SEASON STATS,W,110,106
4/2/15,PHX,W 107-106,34,10,22,6,11,2,2,8,5,0,0,3,6,28,REGULAR SEASON STATS,W,107,106
4/4/15,DAL,W 123-110,27,4,12,1,4,2,3,4,3,0,1,1,1,11,REGULAR SEASON STATS,W,123,110
4/5/15,SA,L 92-107,30,9,17,5,10,1,2,4,6,0,1,2,4,24,REGULAR SEASON STATS,L,92,107
4/7/15,NO,L 100-103,35,9,18,5,8,2,2,6,9,0,1,3,2,25,REGULAR SEASON STATS,L,100,103
4/9/15,POR,W 116-105,35,17,23,8,13,3,3,2,10,0,0,2,4,45,REGULAR SEASON STATS,W,116,105
4/11/15,MIN,W 110-101,35,11,21,5,11,7,8,4,7,0,4,1,3,34,REGULAR SEASON STATS,W,110,101
4/13/15,MEM,W 111-107,29,6,10,3,6,0,0,4,8,0,1,2,3,15,REGULAR SEASON STATS,W,111,107
4/15/15,DEN,W 133-126,19,4,10,2,4,0,0,4,7,0,5,1,2,10,REGULAR SEASON STATS,W,133,126
4/18/15,NO,W 106-99,40,13,25,4,13,4,7,4,5,0,3,4,3,34,Conference Quarterfinals,W,106,99
4/20/15,NO,W 97-87,37,9,21,3,9,1,1,4,6,0,1,1,5,22,Conference Quarterfinals,W,97,87
4/23/15,NO,W 123-119,44,10,29,7,18,13,14,5,9,0,0,3,3,40,Conference Quarterfinals,W,123,119
4/25/15,NO,W 109-98,38,11,20,6,8,11,12,8,9,0,1,4,5,39,Conference Quarterfinals,W,109,98
5/3/15,MEM,W 101-86,38,8,18,4,8,2,2,2,7,0,4,1,4,22,Conference Semifinals,W,101,86
5/5/15,MEM,L 90-97,41,7,19,2,11,3,4,5,6,0,0,0,3,19,Conference Semifinals,L,90,97
5/9/15,MEM,L 89-99,40,8,21,2,10,5,7,2,6,1,1,1,4,23,Conference Semifinals,L,89,99
5/11/15,MEM,W 101-84,39,11,22,4,9,7,9,8,5,0,2,4,4,33,Conference Semifinals,W,101,84
5/13/15,MEM,W 98-78,33,6,16,6,13,0,0,7,5,0,6,0,5,18,Conference Semifinals,W,98,78
5/15/15,MEM,W 108-95,39,11,25,8,13,2,2,6,10,0,0,3,4,32,Conference Semifinals,W,108,95
5/19/15,HOU,W 110-106,39,13,22,6,11,2,3,6,5,0,2,3,1,34,Conference Finals,W,110,106
5/21/15,HOU,W 99-98,37,13,21,5,11,2,3,3,6,0,1,2,6,33,Conference Finals,W,99,98
5/23/15,HOU,W 115-80,35,12,19,7,9,9,10,5,7,1,2,2,4,40,Conference Finals,W,115,80
5/25/15,HOU,L 115-128,31,7,18,6,13,3,3,1,4,0,0,3,0,23,Conference Finals,L,115,128
5/27/15,HOU,W 104-90,42,7,21,3,11,9,12,8,6,0,5,3,3,26,Conference Finals,W,104,90
6/4/15,CLE,W 108-100,43,10,20,2,6,4,4,4,8,0,2,1,4,26,NBA Finals,W,108,100
6/7/15,CLE,L 93-95,42,5,23,2,15,7,8,6,5,0,0,4,6,19,NBA Finals,L,93,95
6/9/15,CLE,L 91-96,44,10,20,7,13,0,0,6,6,1,3,2,6,27,NBA Finals,L,91,96
6/11/15,CLE,W 103-82,41,8,17,4,7,2,2,2,7,0,1,1,4,22,NBA Finals,W,103,82
6/14/15,CLE,W 104-91,42,13,23,7,13,4,4,7,4,0,2,2,5,37,NBA Finals,W,104,91
6/16/15,CLE,W 105-97,43,8,19,3,11,6,8,6,8,0,3,3,3,25,NBA Finals,W,105,97
10/5/15,TOR,W 95-87,19,5,7,3,5,1,2,4,2,0,0,6,4,14,,W,95,87
10/8/15,POR,L 101-118,26,6,14,6,11,12,15,2,7,1,1,1,2,30,,L,101,118
10/13/15,DEN,L 103-114,26,5,13,1,8,3,5,1,7,0,1,4,4,14,,L,103,114
10/15/15,HOU,W 123-101,17,6,7,1,1,6,6,1,6,0,1,1,0,19,,W,123,101
10/17/15,LAL,L 70-85,22,7,13,5,10,0,0,3,4,0,0,0,3,19,,L,70,85
10/22/15,LAL,W 136-97,29,9,14,4,8,2,2,4,10,0,4,4,5,24,,W,136,97
10/27/15,NO,W 111-95,36,14,26,5,12,7,7,6,7,0,2,1,2,40,REGULAR SEASON STATS,W,111,95
10/30/15,HOU,W 112-92,27,9,15,4,9,3,4,7,6,0,1,4,1,25,REGULAR SEASON STATS,W,112,92
10/31/15,NO,W 134-120,36,17,27,8,14,11,11,4,9,0,4,3,2,53,REGULAR SEASON STATS,W,134,120
11/2/15,MEM,W 119-69,28,10,16,4,8,6,6,3,3,1,3,2,3,30,REGULAR SEASON STATS,W,119,69
11/4/15,LAC,W 112-108,33,8,17,7,11,8,9,5,4,0,1,3,0,31,REGULAR SEASON STATS,W,112,108
11/6/15,DEN,W 119-104,35,12,22,8,16,2,3,7,10,1,3,1,4,34,REGULAR SEASON STATS,W,119,104
11/7/15,SAC,W 103-94,39,8,18,2,10,6,7,6,3,0,2,1,6,24,REGULAR SEASON STATS,W,103,94
11/9/15,DET,W 109-95,37,7,18,3,7,5,6,5,5,0,3,1,5,22,REGULAR SEASON STATS,W,109,95
11/11/15,MEM,W 100-84,35,9,21,3,10,7,7,5,5,1,5,1,4,28,REGULAR SEASON STATS,W,100,84
11/12/15,MIN,W 129-116,38,15,25,8,13,8,8,5,4,0,2,3,3,46,REGULAR SEASON STATS,W,129,116
11/14/15,BKN,W 107-99,44,13,31,5,16,3,3,3,6,0,1,1,4,34,REGULAR SEASON STATS,W,107,99
11/17/15,TOR,W 115-110,40,13,23,5,10,6,7,2,9,0,2,1,7,37,REGULAR SEASON STATS,W,115,110
11/19/15,LAC,W 124-117,37,11,22,6,14,12,12,11,4,0,3,2,7,40,REGULAR SEASON STATS,W,124,117
11/20/15,CHI,W 106-94,36,9,20,3,11,6,6,5,4,0,4,2,6,27,REGULAR SEASON STATS,W,106,94
11/22/15,DEN,W 118-105,28,8,16,3,8,0,0,4,7,0,3,0,4,19,REGULAR SEASON STATS,W,118,105
11/24/15,LAL,W 111-77,30,10,21,4,12,0,0,4,9,0,2,1,0,24,REGULAR SEASON STATS,W,111,77
11/27/15,PHX,W 135-116,31,11,20,9,16,10,11,6,8,0,2,2,6,41,REGULAR SEASON STATS,W,135,116
11/28/15,SAC,W 120-101,30,4,7,3,6,8,8,4,6,0,3,1,1,19,REGULAR SEASON STATS,W,120,101
11/30/15,UTAH,W 106-103,37,9,20,4,8,4,4,6,5,0,2,2,2,26,REGULAR SEASON STATS,W,106,103
12/2/15,CHA,W 116-99,31,14,18,8,11,4,4,3,5,0,0,2,5,40,REGULAR SEASON STATS,W,116,99
12/5/15,TOR,W 112-109,38,14,24,9,15,7,9,2,7,0,0,4,3,44,REGULAR SEASON STATS,W,112,109
12/6/15,BKN,W 114-98,32,11,17,5,9,1,4,5,2,0,1,2,4,28,REGULAR SEASON STATS,W,114,98
12/8/15,IND,W 131-123,36,11,23,3,10,4,6,7,10,0,3,1,4,29,REGULAR SEASON STATS,W,131,123
12/11/15,BOS,W 124-119,47,9,27,6,13,14,14,11,8,0,2,4,8,38,REGULAR SEASON STATS,W,124,119
12/12/15,MIL,L 95-108,35,10,22,2,9,6,7,7,5,0,1,2,2,28,REGULAR SEASON STATS,L,95,108
12/16/15,PHX,W 128-103,30,10,14,2,5,3,5,2,7,0,1,4,3,25,REGULAR SEASON STATS,W,128,103
12/18/15,MIL,W 121-112,39,7,14,2,6,10,11,10,9,0,2,2,6,26,REGULAR SEASON STATS,W,121,112
12/23/15,UTAH,W 103-85,34,5,14,2,8,4,4,5,9,0,3,2,3,16,REGULAR SEASON STATS,W,103,85
12/25/15,CLE,W 89-83,37,6,15,1,4,6,6,7,7,0,2,3,3,19,REGULAR SEASON STATS,W,89,83
12/28/15,SAC,W 122-103,30,7,16,6,13,3,4,14,10,0,2,3,2,23,REGULAR SEASON STATS,W,122,103
12/30/15,DAL,L 91-114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,91,114
12/31/15,HOU,W 114-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,114,110
1/2/16,DEN,W 111-108,14,2,6,1,5,0,0,1,4,0,2,1,2,5,REGULAR SEASON STATS,W,111,108
1/4/16,CHA,W 111-101,32,12,21,5,10,1,1,3,4,0,2,4,2,30,REGULAR SEASON STATS,W,111,101
1/5/16,LAL,W 109-88,26,6,13,4,8,1,1,1,6,0,3,2,3,17,REGULAR SEASON STATS,W,109,88
1/8/16,POR,W 128-108,29,8,18,4,11,6,6,3,9,0,1,2,1,26,REGULAR SEASON STATS,W,128,108
1/9/16,SAC,W 128-116,38,12,21,8,14,6,7,6,11,1,1,3,4,38,REGULAR SEASON STATS,W,128,116
1/11/16,MIA,W 111-103,38,11,27,4,11,5,6,2,6,0,1,2,1,31,REGULAR SEASON STATS,W,111,103
1/13/16,DEN,L 110-112,40,13,25,5,12,7,7,5,9,1,3,1,8,38,REGULAR SEASON STATS,L,110,112
1/14/16,LAL,W 116-98,30,9,18,8,16,0,0,6,3,0,1,3,3,26,REGULAR SEASON STATS,W,116,98
1/16/16,DET,L 95-113,37,13,26,7,15,5,6,7,5,0,2,1,2,38,REGULAR SEASON STATS,L,95,113
1/18/16,CLE,W 132-98,28,12,18,7,12,4,4,5,4,0,3,3,1,35,REGULAR SEASON STATS,W,132,98
1/20/16,CHI,W 125-94,34,8,18,3,9,6,6,7,11,1,2,2,2,25,REGULAR SEASON STATS,W,125,94
1/22/16,IND,W 122-110,37,11,19,8,15,9,9,10,12,0,1,1,2,39,REGULAR SEASON STATS,W,122,110
1/25/16,SA,W 120-90,28,12,20,6,9,7,7,2,3,0,5,0,1,37,REGULAR SEASON STATS,W,120,90
1/27/16,DAL,W 127-107,32,4,11,3,7,3,3,2,9,1,3,2,0,14,REGULAR SEASON STATS,W,127,107
1/30/16,PHI,W 108-105,34,9,19,5,11,0,0,5,6,2,1,3,8,23,REGULAR SEASON STATS,W,108,105
1/31/16,NY,W 116-95,32,5,17,3,11,0,0,4,4,0,3,1,3,13,REGULAR SEASON STATS,W,116,95
2/3/16,WSH,W 134-121,36,19,28,11,15,2,3,7,2,0,3,3,7,51,REGULAR SEASON STATS,W,134,121
2/6/16,OKC,W 116-108,38,10,26,1,9,5,5,6,10,0,3,2,3,26,REGULAR SEASON STATS,W,116,108
2/9/16,HOU,W 123-110,38,12,24,7,16,4,4,5,9,0,1,2,1,35,REGULAR SEASON STATS,W,123,110
2/10/16,PHX,W 112-104,30,9,17,5,10,3,4,9,9,1,1,1,2,26,REGULAR SEASON STATS,W,112,104
2/14/16,EAST,W 196-173,29,10,18,6,13,0,0,5,6,0,4,1,2,26,REGULAR SEASON STATS,W,196,173
2/19/16,POR,L 105-137,26,12,23,7,13,0,0,3,5,0,2,4,3,31,REGULAR SEASON STATS,L,105,137
2/20/16,LAC,W 115-112,36,5,15,3,8,10,12,3,9,0,3,2,3,23,REGULAR SEASON STATS,W,115,112
2/22/16,ATL,W 102-92,36,14,22,5,11,3,3,6,8,0,3,2,2,36,REGULAR SEASON STATS,W,102,92
2/24/16,MIA,W 118-112,36,14,29,6,12,8,8,7,7,1,1,0,7,42,REGULAR SEASON STATS,W,118,112
2/25/16,ORL,W 130-114,34,20,27,10,15,1,1,7,8,1,0,1,5,51,REGULAR SEASON STATS,W,130,114
2/27/16,OKC,W 121-118,38,14,24,12,16,6,8,3,6,0,2,1,3,46,REGULAR SEASON STATS,W,121,118
3/1/16,ATL,W 109-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,109,105
3/3/16,OKC,W 121-106,37,12,25,5,15,4,5,4,4,1,1,2,1,33,REGULAR SEASON STATS,W,121,106
3/6/16,LAL,L 95-112,34,6,20,1,10,5,5,6,4,0,1,2,4,18,REGULAR SEASON STATS,L,95,112
3/7/16,ORL,W 119-113,37,14,24,7,13,6,6,13,3,0,4,3,5,41,REGULAR SEASON STATS,W,119,113
3/9/16,UTAH,W 115-94,32,4,12,3,9,1,2,3,10,0,3,2,3,12,REGULAR SEASON STATS,W,115,94
3/11/16,POR,W 128-112,29,13,23,7,14,1,2,3,4,0,2,2,3,34,REGULAR SEASON STATS,W,128,112
3/12/16,PHX,W 123-116,35,12,24,7,16,4,4,3,6,0,0,4,1,35,REGULAR SEASON STATS,W,123,116
3/14/16,NO,W 125-107,31,10,16,4,9,3,4,5,5,0,2,1,1,27,REGULAR SEASON STATS,W,125,107
3/16/16,NY,W 121-85,28,12,20,8,13,2,2,6,4,0,0,2,2,34,REGULAR SEASON STATS,W,121,85
3/18/16,DAL,W 130-112,34,12,26,6,12,1,1,9,10,0,2,2,1,31,REGULAR SEASON STATS,W,130,112
3/19/16,SA,L 79-87,38,4,18,1,12,5,5,6,6,0,2,0,2,14,REGULAR SEASON STATS,L,79,87
3/21/16,MIN,W 109-104,35,6,17,2,9,5,6,7,11,1,3,4,5,19,REGULAR SEASON STATS,W,109,104
3/23/16,LAC,W 114-98,37,12,23,4,10,5,6,4,5,0,3,3,1,33,REGULAR SEASON STATS,W,114,98
3/25/16,DAL,W 128-120,35,9,18,5,12,10,11,8,8,0,4,0,3,33,REGULAR SEASON STATS,W,128,120
3/27/16,PHI,W 117-105,33,7,16,2,9,4,5,3,8,0,4,0,4,20,REGULAR SEASON STATS,W,117,105
3/29/16,WSH,W 102-94,35,9,20,6,8,2,2,7,7,0,5,3,5,26,REGULAR SEASON STATS,W,102,94
3/30/16,UTAH,W 103-96,42,11,23,5,10,4,5,7,4,0,2,4,5,31,REGULAR SEASON STATS,W,103,96
4/1/16,BOS,L 106-109,37,9,19,8,14,3,3,5,6,0,1,2,9,29,REGULAR SEASON STATS,L,106,109
4/3/16,POR,W 136-111,35,13,21,9,13,4,4,6,7,1,2,2,4,39,REGULAR SEASON STATS,W,136,111
4/5/16,MIN,L 117-124,43,7,25,4,14,3,3,6,15,0,3,4,3,21,REGULAR SEASON STATS,L,117,124
4/7/16,SA,W 112-101,36,11,19,3,7,2,2,5,9,0,2,2,3,27,REGULAR SEASON STATS,W,112,101
4/9/16,MEM,W 100-99,34,7,22,3,14,0,0,9,8,0,1,1,2,17,REGULAR SEASON STATS,W,100,99
4/10/16,SA,W 92-86,35,13,22,4,9,7,7,5,5,0,2,4,4,37,REGULAR SEASON STATS,W,92,86
4/13/16,MEM,W 125-104,30,15,24,10,19,6,6,4,6,0,2,2,2,46,REGULAR SEASON STATS,W,125,104
4/16/16,HOU,W 104-78,20,8,13,5,7,3,3,7,2,0,3,0,4,24,Conference Quarterfinals,W,104,78
4/18/16,HOU,W 115-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,115,106
4/21/16,HOU,L 96-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,L,96,97
4/24/16,HOU,W 121-94,19,2,9,1,7,1,1,0,5,0,1,0,5,6,Conference Quarterfinals,W,121,94
4/27/16,HOU,W 114-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,114,81
5/1/16,POR,W 118-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Semifinals,W,118,106
5/3/16,POR,W 110-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Semifinals,W,110,99
5/7/16,POR,L 108-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Semifinals,L,108,120
5/9/16,POR,W 132-125,37,16,32,5,16,3,3,9,8,0,0,2,4,40,Conference Semifinals,W,132,125
5/11/16,POR,W 125-121,37,10,20,5,11,4,4,5,11,0,1,2,4,29,Conference Semifinals,W,125,121
5/16/16,OKC,L 102-108,40,9,22,6,14,2,2,10,7,0,3,3,7,26,Conference Finals,L,102,108
5/18/16,OKC,W 118-91,30,9,15,5,8,5,5,2,3,0,1,0,3,28,Conference Finals,W,118,91
5/22/16,OKC,L 105-133,30,7,17,3,11,7,8,5,3,0,2,1,1,24,Conference Finals,L,105,133
5/24/16,OKC,L 94-118,39,6,20,2,10,5,7,5,5,0,2,2,6,19,Conference Finals,L,94,118
5/26/16,OKC,W 120-111,37,9,20,3,8,10,10,7,6,0,5,0,5,31,Conference Finals,W,120,111
5/28/16,OKC,W 108-101,41,9,22,6,14,7,9,10,9,0,2,3,3,31,Conference Finals,W,108,101
5/30/16,OKC,W 96-88,40,13,24,7,12,3,3,5,8,0,0,1,3,36,Conference Finals,W,96,88
6/2/16,CLE,W 104-89,36,4,15,3,8,0,0,5,6,0,0,2,5,11,NBA Finals,W,104,89
6/5/16,CLE,W 110-77,25,7,11,4,8,0,0,9,4,1,0,4,4,18,NBA Finals,W,110,77
6/8/16,CLE,L 90-120,31,6,13,3,9,4,4,1,3,0,2,4,6,19,NBA Finals,L,90,120
6/10/16,CLE,W 108-97,40,11,25,7,13,9,10,5,6,0,2,3,3,38,NBA Finals,W,108,97
6/13/16,CLE,L 97-112,40,8,21,5,15,4,4,7,4,3,0,2,4,25,NBA Finals,L,97,112
6/16/16,CLE,L 101-115,35,8,20,6,13,8,9,2,1,0,1,6,4,30,NBA Finals,L,101,115
6/19/16,CLE,L 89-93,39,6,19,4,14,1,1,5,2,1,1,4,4,17,NBA Finals,L,89,93
10/1/16,TOR,L 93-97,17,2,6,1,5,3,5,2,3,0,2,1,1,8,,L,93,97
10/4/16,LAC,W 120-75,23,4,8,3,6,3,3,3,5,0,3,3,1,14,,W,120,75
10/6/16,SAC,W 105-96,26,3,8,2,5,5,5,2,5,1,4,1,4,13,,W,105,96
10/14/16,DEN,W 129-128,27,7,17,2,9,6,7,9,4,2,0,2,2,22,,W,129,128
10/15/16,LAL,W 112-107,18,5,9,2,5,2,3,3,3,0,2,1,1,14,,W,112,107
10/19/16,LAL,W 123-112,31,11,19,6,12,4,4,5,5,0,3,2,1,32,,W,123,112
10/21/16,POR,W 107-96,28,12,21,8,13,3,3,4,2,0,0,2,2,35,,W,107,96
10/25/16,SA,L 100-129,34,9,18,3,10,5,6,3,4,0,0,1,4,26,REGULAR SEASON STATS,L,100,129
10/28/16,NO,W 122-114,34,8,19,4,10,3,4,1,8,0,1,3,4,23,REGULAR SEASON STATS,W,122,114
10/30/16,PHX,W 106-100,34,9,17,5,8,5,5,1,3,0,0,5,1,28,REGULAR SEASON STATS,W,106,100
11/1/16,POR,W 127-104,30,10,21,5,10,3,4,4,3,0,1,3,4,28,REGULAR SEASON STATS,W,127,104
11/3/16,OKC,W 122-96,30,6,14,2,6,7,8,1,7,1,2,1,1,21,REGULAR SEASON STATS,W,122,96
11/4/16,LAL,L 97-117,31,5,17,0,10,3,3,8,10,1,2,3,2,13,REGULAR SEASON STATS,L,97,117
11/7/16,NO,W 116-106,36,16,26,13,17,1,2,5,5,0,2,2,4,46,REGULAR SEASON STATS,W,116,106
11/9/16,DAL,W 116-95,31,8,12,4,8,4,4,3,6,0,1,1,5,24,REGULAR SEASON STATS,W,116,95
11/10/16,DEN,W 125-101,30,10,17,7,13,6,6,5,6,0,1,1,4,33,REGULAR SEASON STATS,W,125,101
11/13/16,PHX,W 133-120,37,9,17,5,9,7,7,6,6,0,2,2,3,30,REGULAR SEASON STATS,W,133,120
11/16/16,TOR,W 127-121,37,10,19,3,9,12,13,3,7,0,1,3,3,35,REGULAR SEASON STATS,W,127,121
11/18/16,BOS,W 104-88,36,7,20,2,10,0,0,3,8,1,4,4,2,16,REGULAR SEASON STATS,W,104,88
11/19/16,MIL,W 124-121,35,7,21,1,11,5,5,5,5,0,1,4,3,20,REGULAR SEASON STATS,W,124,121
11/21/16,IND,W 120-83,30,6,11,2,6,8,8,6,6,0,1,1,1,22,REGULAR SEASON STATS,W,120,83
